hall_ticket_no,student_name,parent_name,parent_phone,maths1a,maths1b,physics1,chemistry1,maths2a,maths2b,physics2,chemistry2,ipe_total,eamcet_marks,final_score,rank_position
HTNO20250277,Kaitlyn Gomez,Mark Shelton,7628522097,36,42,54,20,71,37,31,50,341,149,85.63078703703704,117
HTNO20250996,Heather Brown,Rebekah Lopez,8171133528,75,49,23,51,59,68,49,34,408,142,85.45138888888889,118
HTNO20250407,Benjamin Kelly,Christina Hunter,9561065835,47,61,45,24,48,74,50,59,408,142,85.45138888888889,119
HTNO20250030,Michael Oliver,Richard Tyler,9487914895,31,50,31,27,66,50,28,23,306,152,85.41666666666667,120
HTNO20250737,Lindsay Smith,Norman Foster,8555191401,73,44,32,49,67,35,47,49,396,143,85.36458333333333,121
HTNO20250386,Drew Perry,Samantha Clayton,7674736444,72,71,33,48,58,71,25,36,414,141,85.26041666666667,122
HTNO20250600,Christopher Allen,Mary Sherman,6755156973,39,68,28,27,30,55,50,25,322,150,85.2199074074074,123
HTNO20250034,Brian Frazier,Jasmine Sawyer,7565167502,52,72,24,24,68,33,38,30,341,148,85.16203703703704,124
HTNO20250723,Christopher Marsh,Monique Ayers,8259556509,41,42,48,57,41,43,41,27,340,148,85.11574074074073,125
HTNO20250747,Sharon Fields,Rhonda Beard,7253140241,57,55,47,50,66,48,52,24,399,142,85.03472222222223,126
HTNO20250616,Marissa Humphrey,Mary Robinson,8509056625,32,55,56,57,37,38,30,53,358,146,85.01157407407408,127
HTNO20250478,Nathan Morton,Erin Gonzalez,7711287268,67,71,22,42,73,30,29,34,368,145,85.00578703703704,128
HTNO20250157,Shelley Evans,James Ross,7602236656,36,42,60,50,41,48,53,48,378,144,85.0,129
HTNO20250444,William Williams,Patricia Tanner,7529460852,62,58,42,29,44,54,20,35,344,147,84.83217592592592,130
HTNO20250519,Kimberly Terry,Kara Sullivan,6812634546,37,52,38,28,62,43,56,56,372,144,84.72222222222223,131
HTNO20250777,William Adams,Abigail Lee,7898076099,36,50,58,42,38,74,23,40,361,145,84.68171296296296,132
HTNO20250594,Tiffany Henderson,Heather Faulkner,8944859210,44,63,50,28,65,68,36,57,411,140,84.65277777777777,133
HTNO20250434,Brittney Perez,Amanda Small MD,7464063382,37,54,30,27,31,71,43,35,328,148,84.56018518518519,134
HTNO20250602,Jamie Grant,Jerry Flores,6924654920,61,37,36,37,43,30,58,45,347,146,84.50231481481481,135
HTNO20250222,Antonio Bennett,Victoria Le,8089009544,39,67,28,57,68,46,38,34,377,143,84.48495370370371,136
HTNO20250317,James Wright,Mark Pratt,8478504029,54,58,32,35,33,30,33,31,306,150,84.47916666666667,137
HTNO20250701,Brian Stevens,Susan Wilson,9666173765,62,73,55,29,44,70,23,50,406,140,84.4212962962963,138
HTNO20250092,Gabriella Collins,Lisa Davis,6124854567,31,49,28,30,40,50,23,39,290,151,84.20717592592592,139
HTNO20250251,Edward Wall,Jose Melton,7593405428,54,56,60,41,46,69,53,51,430,137,84.1261574074074,140
HTNO20250438,Laura Spencer,Kimberly Hammond,7236723597,51,46,30,40,72,62,30,28,359,144,84.12037037037037,141
HTNO20250067,Heather Ramsey,Matthew Preston,7578959523,53,69,24,39,53,61,44,44,387,141,84.01041666666667,142
HTNO20250455,Patrick Hopkins,Thomas Jacobs,8975257904,31,65,56,44,71,32,23,34,356,144,83.98148148148148,143
HTNO20250008,Jonathan West,Joseph Baldwin,8219227039,41,61,32,59,66,43,52,29,383,141,83.82523148148148,144
HTNO20250125,Gregory Medina,Regina Williams,9308037012,45,30,43,29,61,38,52,24,322,147,83.8136574074074,145
HTNO20250433,Cassandra Chapman,Kristin Estes,9715468654,65,39,25,52,47,44,58,58,388,140,83.58796296296296,146
HTNO20250413,Jeffrey Zavala,Jillian Bush,6872248634,40,68,56,26,36,67,33,21,347,144,83.56481481481481,147
HTNO20250994,Kimberly Ruiz,Sandra Smith,9767947791,45,45,48,37,65,30,47,40,357,143,83.55902777777777,148
HTNO20250797,Jonathan Estrada,Michael Curry,7566053656,55,51,34,48,31,52,53,41,365,142,83.46064814814815,149
HTNO20250172,Jennifer Phillips,Michael Herrera,9161072776,39,33,45,47,33,57,52,57,363,142,83.36805555555556,150
HTNO20250978,Brian Reilly II,Keith Simmons,9465488161,34,73,55,45,52,31,45,58,393,139,83.35069444444444,151
HTNO20250969,Kimberly Scott,Michael Davidson,9340549792,68,64,55,40,61,55,53,34,430,135,83.1886574074074,152
HTNO20250108,Lori Dalton,Mark Lynch,6250395750,36,49,51,30,55,60,37,39,357,142,83.09027777777777,153
HTNO20250022,David Adams,Phillip Pope,7404103763,35,45,34,25,38,47,23,49,296,148,83.07870370370371,154
HTNO20250960,Crystal Cook,Matthew Mendoza,6511593348,39,39,51,44,62,71,43,27,376,140,83.0324074074074,155
HTNO20250321,Micheal Morales,Walter Landry,8238337943,64,33,42,38,67,67,39,45,395,138,82.97453703703704,156
HTNO20250976,Joseph Gutierrez,Kim Chandler,8813531845,70,65,25,28,74,72,46,53,433,134,82.85879629629629,157
HTNO20250849,Paul Lee,Erika Mayer,6102181709,45,57,40,30,70,64,40,31,377,139,82.60995370370371,158
HTNO20250739,Teresa Hayden,Alexander Thompson,7222946262,54,69,59,54,72,57,35,37,437,133,82.57523148148148,159
HTNO20250273,Philip Bruce,Tonya Williams,9622250059,36,50,24,55,48,59,53,31,356,141,82.57523148148148,160
HTNO20250165,Melinda Kelly,Marcus Williams,7667692156,73,39,21,24,62,58,48,20,345,142,82.53472222222223,161
HTNO20250844,Erica Lee,Tina Williams,6256690088,66,71,48,42,48,32,36,30,373,139,82.42476851851852,162
HTNO20250514,Christine Griffith,Matthew Schroeder,7661899320,72,31,59,41,52,41,32,55,383,138,82.41898148148148,163
HTNO20250802,Donna Allen,Megan Webb,9805581395,55,46,22,35,72,57,31,54,372,139,82.37847222222223,164
HTNO20250577,James Jones,Pam Woods,8862980872,75,50,25,34,35,33,26,52,330,143,82.30902777777777,165
HTNO20250717,Lindsey Thomas,David Ellis,6105289406,71,56,51,53,38,44,46,51,410,135,82.26273148148148,166
HTNO20250440,Mia Wang,Samantha Johnson,7788333817,51,34,49,29,38,56,45,45,347,141,82.15856481481481,167
HTNO20250584,Mrs. Leslie Henderson,Phillip Hobbs,8131683540,73,60,48,54,67,55,30,51,438,132,82.15277777777777,168
HTNO20250576,Joseph Holmes,Alexander Wright,8565113342,57,40,56,34,30,56,26,37,336,142,82.11805555555556,169
HTNO20250174,Amanda Henry,Ann Campbell,9777572336,41,42,46,31,63,40,45,58,366,139,82.10069444444444,170
HTNO20250812,Autumn Perry,Laura Cordova,8901099643,57,44,46,30,37,32,49,40,335,142,82.07175925925927,171
HTNO20250827,Kevin Schmidt,Leonard Wilson,7681100388,75,70,45,35,49,59,38,54,425,133,82.01967592592592,172
HTNO20250942,Jeffrey Aguilar,April Smith,8381534368,54,66,54,57,68,61,54,60,474,128,81.94444444444444,173
HTNO20250225,Blake Reynolds,Mandy Padilla,7851498512,44,56,24,51,71,33,51,59,389,136,81.75925925925927,174
HTNO20250984,Debra Mcintyre,Gina Martin,7155976830,64,48,41,32,34,64,58,47,388,136,81.71296296296296,175
HTNO20250985,Matthew Black,Michael Leonard,7816341846,33,67,26,55,67,42,29,38,357,139,81.68402777777777,176
HTNO20250117,Jaclyn Martin,Mrs. Patricia Walters,6803935068,56,58,53,53,44,56,20,37,377,137,81.67245370370371,177
HTNO20250643,Leah Dillon,Sarah Hopkins,6991259847,33,52,37,24,75,41,58,45,365,138,81.58564814814815,178
HTNO20250879,Hannah Mays,Lisa Savage,7847951250,63,48,51,45,67,50,55,36,415,133,81.55671296296296,179
HTNO20250311,Audrey Tran,Anthony Lamb,8447338508,43,60,54,46,37,71,21,22,354,139,81.54513888888889,180
HTNO20250185,Jimmy Smith,Mrs. Chelsea Kent MD,7637170633,51,48,31,60,42,61,49,21,363,138,81.49305555555556,181
HTNO20250257,Julia Trujillo,Jacqueline Rowland,9476232874,49,57,56,39,67,36,25,51,380,136,81.3425925925926,182
HTNO20250634,Nicholas Turner,Elizabeth Sawyer,9925473441,48,48,21,53,43,30,50,45,338,140,81.27314814814815,183
HTNO20250820,Michael Simpson,Nancy Lee,6997199021,66,53,47,48,70,43,55,26,408,133,81.23263888888889,184
HTNO20250965,Melissa Mora,Lisa Hunter,9633593647,36,64,33,30,38,45,36,43,325,141,81.14004629629629,185
HTNO20250822,Joshua Mathis,Martin Cannon,7946087012,60,52,28,22,65,53,60,35,375,136,81.11111111111111,186
HTNO20250423,Frederick Reyes,Donald Kelly,8605976192,41,42,29,43,70,67,30,42,364,137,81.07060185185185,187
HTNO20250533,John Allen,Roy Chavez,6509525995,32,66,59,21,50,69,56,20,373,136,81.01851851851852,188
HTNO20250042,Kelly Miller,Jennifer Keller,7897680321,59,32,38,53,53,66,29,52,382,135,80.96643518518519,189
HTNO20250409,Isabella Wiggins,Kenneth Perez,6175966743,57,32,26,24,51,52,34,55,331,140,80.94907407407408,190
HTNO20250116,Jennifer Kim,Jonathan Martin,8933144097,57,34,42,38,39,68,33,40,351,138,80.9375,191
HTNO20250589,Austin Mayo,Sharon Andrews,9260349767,52,53,37,50,41,58,27,52,370,136,80.87962962962963,192
HTNO20250252,Cheryl Harris,Timothy Thomas,8933047340,51,57,40,32,44,60,26,59,369,136,80.83333333333333,193
HTNO20250112,Michelle Santana,Christopher Wells,9318706122,62,38,33,56,55,55,24,46,369,136,80.83333333333333,194
HTNO20250226,Jeffrey Sandoval,Alyssa Taylor,6918646931,31,75,20,32,60,39,57,33,347,138,80.75231481481481,195
HTNO20250619,Daniel Williams,Stephanie Morrow,7911369642,74,51,47,51,62,65,47,20,417,131,80.71180555555556,196
HTNO20250150,Erin Miller,Amy Campbell,7464795393,52,71,56,24,58,67,49,39,416,131,80.66550925925927,197
HTNO20250308,Jason Thompson,Jasmine Lopez,9405760043,43,38,44,34,66,61,54,25,365,136,80.64814814814815,198
HTNO20250834,Matthew Arias,Heather Aguirre,6597000663,60,33,26,57,57,58,30,42,363,136,80.55555555555556,199
HTNO20250437,David Beasley,Sandra Russell,9529008833,37,61,40,51,44,34,35,30,332,139,80.52662037037037,200
HTNO20250690,Jocelyn Chapman,Rodney Dickerson,9180260400,74,73,44,47,52,59,41,53,443,128,80.50925925925927,201
HTNO20250941,Raymond Park,Natasha Jones,6693911098,50,54,59,27,50,42,25,54,361,136,80.46296296296296,202
HTNO20250744,Jacqueline Garcia,David Martinez,7889869996,73,50,21,23,71,67,50,26,381,134,80.45138888888889,203
HTNO20250880,Zachary Strong,April Peterson,9151147007,41,73,52,44,67,61,26,46,410,131,80.38773148148148,204
HTNO20250395,Curtis Daniels,Lori Adkins,7817187790,51,30,38,49,32,53,29,45,327,139,80.29513888888889,205
HTNO20250954,Dylan Delgado,Denise Wood,7188238743,44,71,52,25,44,65,22,34,357,136,80.27777777777777,206
HTNO20250146,Robin Richards,Brandon Thompson,8285724054,61,52,28,30,48,73,55,29,376,134,80.2199074074074,207
HTNO20250294,Daniel Perkins,Dorothy Reed,6826434263,75,57,43,28,42,33,37,20,335,138,80.19675925925927,208
HTNO20250035,Patrick Martinez,Matthew Holder,7075801293,33,41,21,34,71,63,54,46,363,135,80.08680555555556,209
HTNO20250912,Ryan Meadows,Brian Pratt,7871212601,67,53,25,60,48,35,36,58,382,133,80.02893518518519,210
HTNO20250515,Natalie Andersen,Benjamin Shields,6236725183,57,41,48,31,60,50,52,43,382,133,80.02893518518519,211
HTNO20250065,Kevin Blankenship,Kimberly Rivas,9093190786,37,64,21,35,45,60,39,59,360,135,79.94791666666666,212
HTNO20250337,Danielle Herman,Brandi Cherry,7984629203,40,72,38,23,74,53,53,57,410,130,79.91898148148148,213
HTNO20250866,Rhonda Armstrong,Nancy Coleman,6873402339,51,53,37,48,72,63,37,28,389,132,79.88425925925927,214
HTNO20250895,Nicholas Simon,Cameron Williams,7824438314,49,57,23,35,56,70,53,54,397,131,79.78587962962963,215
HTNO20250358,Lindsay Gomez,Tricia Harris,8521760066,67,53,24,47,53,46,34,22,346,136,79.76851851851852,216
HTNO20250088,Chad Roth,Jennifer Hamilton MD,9828419210,67,45,21,23,67,45,41,47,356,135,79.76273148148148,217
HTNO20250540,Heather Romero,Holly Reyes,7813686618,57,66,37,45,46,49,47,39,386,132,79.74537037037037,218
HTNO20250171,Denise Barnes,Bryan Andrews,6247024871,51,73,40,58,44,51,60,49,426,128,79.72222222222223,219
HTNO20250364,Leslie Scott,Christopher Hamilton,9602872168,66,49,22,49,62,42,31,24,345,136,79.72222222222223,220
HTNO20250524,Jerry Alexander,Sean Nguyen,7822462572,69,65,37,47,69,69,50,30,436,127,79.71643518518519,221
HTNO20250606,Tammy Young,Randall Berg,7921289391,38,38,21,27,63,73,49,54,363,134,79.61805555555556,222
HTNO20250663,Anna Porter,Heather Erickson,6568734160,42,42,27,34,41,73,26,37,322,138,79.5949074074074,223
HTNO20250636,Elizabeth Williams,Dylan Hart,8532600408,46,50,45,24,38,62,32,34,331,137,79.54282407407408,224
HTNO20250259,Clayton Simmons,Julian Rojas,9004888240,34,30,30,57,43,74,35,25,328,137,79.40393518518519,225
HTNO20250187,Brenda Lee,Laura Walker,8723257049,30,30,34,29,75,35,23,21,277,142,79.38657407407408,226
HTNO20250328,Douglas Reynolds,Stacy Rodriguez,8286992173,62,49,59,54,55,35,51,23,388,131,79.36921296296296,227
HTNO20250161,Beverly Garcia,Destiny Long,7139147031,39,54,52,32,38,54,36,49,354,134,79.20138888888889,228
HTNO20250993,Jessica Ray,Morgan Potts,7738567538,63,47,20,57,46,54,44,53,384,131,79.18402777777777,229
HTNO20250180,John Nunez,Tommy Graham,9708012150,50,42,33,20,50,40,44,24,303,139,79.18402777777777,230
HTNO20250991,Troy Fleming,Jeffrey Harris,6159856265,59,52,38,42,55,66,41,31,384,131,79.18402777777777,231
